image,loop_scattering,background_ring,strong_background,diffuse_scattering,artifact,ice_ring,non_uniform_detector
135840_4_0001,0,1,0,1,0,0,0
159769_2_0001,0,1,0,0,0,0,0
94590_2_E2,1,1,0,0,0,0,0
a1g11c1-3peak.0001,0,1,1,0,0,0,0
165065_2_0001,1,1,1,0,0,0,0
T1266_1_001,0,1,1,1,0,0,0
idp04731a,0,1,0,1,0,0,0
65846_1_E1_001,1,1,0,0,0,0,0
215949a5_a0201,0,1,1,1,0,0,0
196603_2_00001,0,0,1,0,0,0,0
54183_1_E2_001,1,1,1,0,0,0,0
m2e11g-peak.0001,0,1,0,0,0,0,0
154138_2_0001,1,1,1,0,0,0,0
60086_2_001,1,0,0,0,0,0,0
TM1782B4_103_001,0,1,0,1,1,0,0
a110-m4d10gly.0001,0,1,1,0,0,0,0
gdy9-5_1_00001,0,1,0,1,0,0,0
165231_2_0001,0,0,1,0,1,0,0
idp01616u,0,1,0,1,0,0,0
105426_1_001,0,1,0,0,0,0,0
108894_2_001,0,0,0,0,0,0,0
IDP00739_katm_19_3_2_0001,1,1,1,0,0,0,0
152414_1_E1_0001,1,1,1,0,0,0,0
55006_2_001,1,1,0,0,0,0,0
70727_1_001,1,1,1,0,0,0,0
IDP01439_H-E-2_19-id_1_0001,0,0,1,0,0,0,0
kfr0-6,0,1,0,0,0,0,0
mGTPM4G2gly-peak.0001,0,1,0,1,0,0,0
205032_2_00001,0,1,1,0,1,0,0
163446_1_E2_0001,0,1,0,0,0,0,0
19456_1_E2_001,0,1,0,0,0,0,0
ges3-5,0,1,0,0,0,0,0
14795_2_001,1,0,1,0,0,0,0
61303_1_E1_001,0,1,0,0,0,0,0
74875_1_E2_001,1,1,0,1,0,0,0
022848_katm_5_1_1_0001,0,1,1,0,0,0,0
CPX200403_d2_M3_A7_data.0001,0,1,0,0,0,0,0
13089_2_001,0,0,0,0,0,0,0
120919_4_E1_001,1,1,1,0,0,0,0
44338_3_E1_001,1,0,0,0,0,0,0
83548_2_001,1,0,1,0,0,0,0
200149_1_E2_00001,1,1,1,0,0,0,0
wjm1-6,0,1,0,0,0,0,0
pfb1-6,1,1,1,0,0,0,0
C5_2_001,1,1,0,0,0,0,0
55006_1_E1_001,1,1,1,0,0,0,0
89622_2_001,1,1,1,0,0,0,0
151666_1_E1_0001,1,0,1,0,0,0,0
103543_1_001,1,0,0,0,0,0,0
56112_2_001,1,1,1,0,0,0,0
WKY6_14_1_001,0,1,1,0,0,0,0
IDP2103B_PKa.0001,0,0,1,0,0,0,0
195823_1_E1_00001,0,0,1,0,0,0,0
85600_2_001,1,0,1,0,0,0,0
IDP91963-3,0,1,1,0,0,0,0
2607_2_001,1,1,1,0,0,0,0
168677_1_0001,1,0,0,0,0,1,0
27127_1_E2_001,1,0,1,0,0,0,0
146136_1_0001,1,1,1,1,0,0,0
236782g5_x1001,1,1,1,1,0,0,0
153055_1_E2_0001,1,1,1,0,0,0,0
156933_2_0001,0,0,0,0,0,0,0
ekw2_4_1_001,0,1,0,0,0,0,0
61817_1_E2_001,0,1,0,0,0,0,0
201069_1_E2_00001,1,1,1,0,0,0,0
p4_1_E2_001,0,1,0,0,0,0,0
143230_1_E1_0001,1,1,1,0,0,0,0
82007_3_001,1,1,0,0,0,0,0
47717_2_E1_001,0,1,1,0,0,0,0
196606_1_E2_00001,1,1,1,0,0,0,0
tk-xf12-soak-ca-2.0001,0,1,0,0,0,0,0
200362_1_E1_00001,0,1,0,0,0,0,0
55315_2_001,0,0,0,0,0,1,0
rqr4-6,0,1,0,0,0,0,0
154505_2_0001,1,1,1,0,0,0,0
95390_2_E2,1,1,0,0,0,0,0
100744_1_001,1,1,1,0,0,0,0
158220_1_E2_00001,0,0,1,0,0,1,0
38495_1_E1_001,1,1,0,0,0,0,0
cjs5-7,0,1,0,0,0,0,0
60114_1_E2_001,1,1,0,0,0,0,0
84291_2_001,1,1,1,0,0,0,0
123222_1_001,1,0,1,0,0,0,0
T2091_E1_1_001,0,0,1,0,0,0,0
83476_2_001,0,0,1,0,0,0,0
57133_1_E1_001,1,1,1,0,0,0,0
121762_1_001,1,1,1,0,0,0,0
5995_3_001,0,0,1,0,0,1,0
142507_1_E1_0001,0,1,1,0,0,0,0
56381_3_001,0,0,1,1,0,0,0
159473_1_E1_0001,0,1,1,0,0,0,0
91320_2_001,1,0,0,0,0,0,0
CdPiminC3eg.0001,0,1,1,0,0,0,0
176318_1_E1_00001,0,1,1,0,0,0,0
JBL6-16_1_001,1,0,1,0,0,0,0
99049_2_001,0,0,1,0,0,0,0
95462_2_E1,1,1,0,0,0,1,0
198553_1_E2_00001,1,1,1,0,0,0,0
14775_3_001,0,1,0,0,0,0,0
218475d8_x0001,0,1,1,0,0,0,0
XV1_STAM0001_40001,0,0,1,0,0,0,0
56038_4_001,0,0,0,1,0,1,0
l-asp-m1c7eg-2.0001,0,1,1,0,0,0,0
267315h4_x0001,1,1,1,0,0,0,0
116815_2_001,0,1,1,1,0,0,0
10230_7_001,0,0,0,0,0,0,0
34560_1_E2_001,0,1,1,0,0,0,0
151434_2_0001,0,0,1,1,0,0,0
111735_IND_H8_data.0001,0,0,0,0,0,1,0
119689_1_001,1,1,1,0,0,0,0
146832_2_0001,0,1,1,1,0,0,0
175484_1_00001,1,1,1,0,1,0,0
119173_1_E2_001,0,1,1,0,0,0,0
86292_2_001,0,0,0,1,0,1,0
70622_1_E1_001,1,1,1,0,0,0,0
PC05870B_19_7_1_001,1,1,0,0,0,0,0
kas6-4,0,1,0,1,0,0,0
idp90611b,0,0,0,1,0,1,0
idp01139_3Q6D.0001,0,1,0,1,0,0,0
11039_2_001,0,0,0,0,0,0,0
49157_2_001,1,1,1,0,0,0,0
9664low_3_001,0,0,0,0,0,0,0
