03-12-2018 12:10:31 AM - INFO -  [ ------ EXPERIMENT: RESNET_041218 ------ ] 

03-12-2018 12:10:31 AM - INFO -  --- PARAMETERS: --- 
03-12-2018 12:10:31 AM - INFO - Predefined metrics: [val_loss], f2, average_precision, average_recall, hamming_score
03-12-2018 12:10:31 AM - INFO - Predefined architecutres: resnet18, resnet34
03-12-2018 12:10:31 AM - INFO - Predefined batch sizes: 8, 16
03-12-2018 12:10:31 AM - INFO - Predefined image sizes: 64, 128, 256, 512
03-12-2018 12:10:31 AM - INFO - Dropout: 0.5
03-12-2018 12:10:31 AM - INFO - Earlystopping after: 12 epochs.
03-12-2018 12:10:31 AM - INFO - Log every 1 epochs.
03-12-2018 12:10:31 AM - INFO - GPU: 1 | Available: 4 

03-12-2018 12:10:31 AM - INFO -     ----- *** RESNET18 *** ----- 

03-12-2018 12:11:08 AM - INFO -  Learning rate = 0.025021
03-12-2018 12:11:08 AM - INFO -  Learning rates = [0.003128, 0.006255, 0.012511, 0.025021] 

03-12-2018 12:11:08 AM - INFO -  --- Batch: 8 | Img size: 64 --- 
 
03-12-2018 12:11:08 AM - INFO -  --- Type: FREEZE --- 
03-12-2018 12:11:08 AM - INFO - epoch, val_loss, f2, average_precision, average_recall, hamming_score
03-12-2018 12:11:45 AM - INFO - 0, 0.340957, 0.796401, 0.415109, 0.435469, 0.628417
03-12-2018 12:12:22 AM - INFO - 1, 0.322472, 0.812946, 0.403973, 0.460707, 0.627917
03-12-2018 12:12:59 AM - INFO - 2, 0.314761, 0.800754, 0.42434, 0.46585, 0.650667
03-12-2018 12:13:35 AM - INFO - 3, 0.317283, 0.816654, 0.411973, 0.441986, 0.638
03-12-2018 12:14:12 AM - INFO - 4, 0.319514, 0.808896, 0.416381, 0.434503, 0.609667
03-12-2018 12:14:49 AM - INFO - 5, 0.308372, 0.817035, 0.426673, 0.439701, 0.64525
03-12-2018 12:15:26 AM - INFO - 6, 0.308746, 0.817165, 0.419918, 0.43766, 0.644417
03-12-2018 12:16:02 AM - INFO - 7, 0.317172, 0.815752, 0.444136, 0.46985, 0.64175
03-12-2018 12:16:39 AM - INFO - 8, 0.301533, 0.826094, 0.484483, 0.482136, 0.645667
03-12-2018 12:17:16 AM - INFO - 9, 0.31124, 0.814884, 0.45049, 0.461415, 0.64775
03-12-2018 12:17:53 AM - INFO - 10, 0.305978, 0.816626, 0.465381, 0.468558, 0.637167
03-12-2018 12:18:29 AM - INFO - 11, 0.30391, 0.8257, 0.457156, 0.461741, 0.639833
03-12-2018 12:19:06 AM - INFO - 12, 0.302091, 0.82438, 0.445075, 0.444122, 0.633
03-12-2018 12:19:43 AM - INFO - 13, 0.297239, 0.82784, 0.458109, 0.453224, 0.6555
03-12-2018 12:20:20 AM - INFO - 14, 0.296091, 0.825396, 0.443442, 0.447986, 0.64925
03-12-2018 12:20:57 AM - INFO - 15, 0.314619, 0.811089, 0.444735, 0.455401, 0.64675
03-12-2018 12:21:34 AM - INFO - 16, 0.312887, 0.818832, 0.423782, 0.432612, 0.62275
03-12-2018 12:22:11 AM - INFO - 17, 0.311221, 0.816658, 0.446605, 0.445129, 0.627167
03-12-2018 12:22:47 AM - INFO - 18, 0.310382, 0.819144, 0.468735, 0.466327, 0.626333
03-12-2018 12:23:24 AM - INFO - 19, 0.308387, 0.812399, 0.444755, 0.468218, 0.66425
03-12-2018 12:24:01 AM - INFO - 20, 0.298632, 0.828969, 0.478095, 0.475306, 0.655667
03-12-2018 12:24:38 AM - INFO - 21, 0.30472, 0.818032, 0.450687, 0.484558, 0.64425
03-12-2018 12:25:14 AM - INFO - 22, 0.303574, 0.82325, 0.436395, 0.454517, 0.6465
