03-12-2018 12:29:33 AM - INFO -  [ ------ EXPERIMENT: RESNET_POLAR_041218 ------ ] 

03-12-2018 12:29:33 AM - INFO -  --- PARAMETERS: --- 
03-12-2018 12:29:33 AM - INFO - Predefined metrics: [val_loss], f2, average_precision, average_recall, hamming_score
03-12-2018 12:29:33 AM - INFO - Predefined architecutres: resnet18, resnet34
03-12-2018 12:29:33 AM - INFO - Predefined batch sizes: 8, 16, 32, 64
03-12-2018 12:29:33 AM - INFO - Predefined image sizes: 64, 128, 256, 512
03-12-2018 12:29:33 AM - INFO - Dropout: 0.5
03-12-2018 12:29:33 AM - INFO - Earlystopping after: 12 epochs.
03-12-2018 12:29:33 AM - INFO - Log every 1 epochs.
03-12-2018 12:29:33 AM - INFO - GPU: 2 | Available: 4 

03-12-2018 12:29:33 AM - INFO -     ----- *** RESNET18 *** ----- 

03-12-2018 12:30:09 AM - INFO -  Learning rate = 0.023598
03-12-2018 12:30:09 AM - INFO -  Learning rates = [0.00295, 0.0059, 0.011799, 0.023598] 

03-12-2018 12:30:09 AM - INFO -  --- Batch: 8 | Img size: 64 --- 
 
03-12-2018 12:30:09 AM - INFO -  --- Type: FREEZE --- 
03-12-2018 12:30:09 AM - INFO - epoch, val_loss, f2, average_precision, average_recall, hamming_score
03-12-2018 12:30:44 AM - INFO - 0, 0.33222, 0.813479, 0.395143, 0.408088, 0.622167
03-12-2018 12:31:20 AM - INFO - 1, 0.304851, 0.821599, 0.414619, 0.430177, 0.648833
03-12-2018 12:31:56 AM - INFO - 2, 0.302774, 0.828052, 0.409871, 0.423034, 0.648833
03-12-2018 12:32:33 AM - INFO - 3, 0.310604, 0.81253, 0.451306, 0.439449, 0.657167
03-12-2018 12:33:09 AM - INFO - 4, 0.308123, 0.817732, 0.464259, 0.447735, 0.67925
03-12-2018 12:33:44 AM - INFO - 5, 0.301386, 0.816568, 0.432966, 0.451993, 0.675917
03-12-2018 12:34:20 AM - INFO - 6, 0.310873, 0.816041, 0.435905, 0.431272, 0.65525
03-12-2018 12:34:56 AM - INFO - 7, 0.302404, 0.819342, 0.458449, 0.464796, 0.655917
03-12-2018 12:35:32 AM - INFO - 8, 0.308544, 0.813163, 0.474837, 0.450184, 0.661333
03-12-2018 12:36:08 AM - INFO - 9, 0.290175, 0.83472, 0.468905, 0.448891, 0.6555
03-12-2018 12:36:44 AM - INFO - 10, 0.286192, 0.83548, 0.466939, 0.465993, 0.670917
03-12-2018 12:37:20 AM - INFO - 11, 0.280943, 0.836354, 0.493619, 0.482755, 0.690167
03-12-2018 12:37:57 AM - INFO - 12, 0.286967, 0.829191, 0.474612, 0.478, 0.7005
03-12-2018 12:38:32 AM - INFO - 13, 0.287699, 0.842037, 0.471429, 0.467041, 0.6705
03-12-2018 12:39:08 AM - INFO - 14, 0.282787, 0.840562, 0.483116, 0.46366, 0.684667
03-12-2018 12:39:43 AM - INFO - 15, 0.294509, 0.819255, 0.448707, 0.449884, 0.667583
03-12-2018 12:40:19 AM - INFO - 16, 0.287672, 0.832786, 0.483803, 0.484558, 0.685583
03-12-2018 12:40:56 AM - INFO - 17, 0.285006, 0.826774, 0.488259, 0.454265, 0.678833
03-12-2018 12:41:32 AM - INFO - 18, 0.279841, 0.835103, 0.459381, 0.461701, 0.673417
03-12-2018 12:42:09 AM - INFO - 19, 0.284132, 0.830709, 0.485565, 0.473898, 0.68475
03-12-2018 12:42:44 AM - INFO - 20, 0.282673, 0.831383, 0.45081, 0.456415, 0.6655
03-12-2018 12:43:20 AM - INFO - 21, 0.277916, 0.843304, 0.472531, 0.471891, 0.69075
03-12-2018 12:43:56 AM - INFO - 22, 0.269937, 0.851087, 0.489211, 0.459946, 0.707167
03-12-2018 12:44:33 AM - INFO - 23, 0.27481, 0.837131, 0.467429, 0.470993, 0.686333
03-12-2018 12:45:09 AM - INFO - 24, 0.272251, 0.837471, 0.495959, 0.457463, 0.700333
03-12-2018 12:45:44 AM - INFO - 25, 0.26996, 0.836593, 0.484517, 0.465939, 0.697583
03-12-2018 12:46:21 AM - INFO - 26, 0.268789, 0.836568, 0.471252, 0.465565, 0.687167
03-12-2018 12:46:57 AM - INFO - 27, 0.268708, 0.842061, 0.482585, 0.468898, 0.7005
03-12-2018 12:47:33 AM - INFO - 28, 0.277857, 0.842443, 0.481061, 0.465748, 0.69175
03-12-2018 12:48:09 AM - INFO - 29, 0.269044, 0.840429, 0.48068, 0.466517, 0.702583
03-12-2018 12:48:45 AM - INFO - 30, 0.272441, 0.84112, 0.487918, 0.472707, 0.70425
03-12-2018 12:49:20 AM - INFO - 31, 0.291347, 0.828653, 0.464959, 0.459088, 0.69925
03-12-2018 12:49:56 AM - INFO - 32, 0.276701, 0.835387, 0.51185, 0.489701, 0.708
03-12-2018 12:50:32 AM - INFO - 33, 0.274346, 0.834888, 0.476463, 0.47266, 0.6805
03-12-2018 12:51:08 AM - INFO - 34, 0.286213, 0.842134, 0.46919, 0.460374, 0.696333
03-12-2018 12:51:43 AM - INFO - 35, 0.277065, 0.838089, 0.461946, 0.446544, 0.692167
03-12-2018 12:52:20 AM - INFO - 36, 0.274372, 0.839981, 0.477537, 0.482136, 0.695917
03-12-2018 12:52:56 AM - INFO - 37, 0.28254, 0.842278, 0.480707, 0.476898, 0.697167
03-12-2018 12:53:32 AM - INFO - 38, 0.275273, 0.843487, 0.535224, 0.529755, 0.70725
03-12-2018 12:54:08 AM - INFO - 39, 0.266398, 0.849448, 0.49751, 0.488694, 0.703917
03-12-2018 12:54:45 AM - INFO - 40, 0.269754, 0.841796, 0.460143, 0.465415, 0.679667
03-12-2018 12:55:21 AM - INFO - 41, 0.27665, 0.846284, 0.459741, 0.473748, 0.688417
03-12-2018 12:55:57 AM - INFO - 42, 0.273086, 0.841565, 0.487728, 0.472898, 0.705917
03-12-2018 12:56:32 AM - INFO - 43, 0.273434, 0.84177, 0.49415, 0.476646, 0.69175
03-12-2018 12:57:08 AM - INFO - 44, 0.268378, 0.840373, 0.486694, 0.484653, 0.71225
03-12-2018 12:57:44 AM - INFO - 45, 0.275729, 0.840561, 0.489782, 0.475612, 0.698
03-12-2018 12:58:20 AM - INFO - 46, 0.267277, 0.850765, 0.513136, 0.494136, 0.70725
03-12-2018 12:58:56 AM - INFO - 47, 0.269647, 0.848969, 0.478571, 0.47732, 0.702583
03-12-2018 12:59:32 AM - INFO - 48, 0.266833, 0.849778, 0.499129, 0.477177, 0.694667
03-12-2018 01:00:07 AM - INFO - 49, 0.264305, 0.84955, 0.481075, 0.470129, 0.705083
03-12-2018 01:00:43 AM - INFO - 50, 0.268157, 0.847205, 0.502395, 0.475272, 0.698
03-12-2018 01:01:19 AM - INFO - 51, 0.26747, 0.845619, 0.467129, 0.482177, 0.703417
03-12-2018 01:01:55 AM - INFO - 52, 0.26262, 0.848196, 0.488041, 0.485701, 0.722167
03-12-2018 01:02:31 AM - INFO - 53, 0.264263, 0.853109, 0.50034, 0.475891, 0.702167
03-12-2018 01:03:07 AM - INFO - 54, 0.268393, 0.847771, 0.500327, 0.488939, 0.717583
03-12-2018 01:03:43 AM - INFO - 55, 0.273159, 0.850542, 0.491592, 0.470599, 0.715083
03-12-2018 01:04:19 AM - INFO - 56, 0.271555, 0.845433, 0.488531, 0.493034, 0.703417
03-12-2018 01:04:54 AM - INFO - 57, 0.269865, 0.846219, 0.485973, 0.469272, 0.706333
03-12-2018 01:05:30 AM - INFO - 58, 0.259464, 0.851663, 0.490721, 0.483415, 0.708833
03-12-2018 01:06:06 AM - INFO - 59, 0.262221, 0.851582, 0.48932, 0.486653, 0.69925
03-12-2018 01:06:42 AM - INFO - 60, 0.262214, 0.855854, 0.498816, 0.480748, 0.710083
03-12-2018 01:07:18 AM - INFO - 61, 0.261076, 0.848124, 0.487102, 0.479891, 0.716333
03-12-2018 01:07:53 AM - INFO - 62, 0.26136, 0.851029, 0.501374, 0.488272, 0.708417
03-12-2018 01:08:29 AM - INFO - 63, 0.272184, 0.845039, 0.481388, 0.472218, 0.716333
03-12-2018 01:09:05 AM - INFO - 64, 0.272388, 0.842764, 0.493, 0.482707, 0.688
03-12-2018 01:09:41 AM - INFO - 65, 0.267069, 0.848003, 0.509864, 0.469456, 0.702583
03-12-2018 01:10:16 AM - INFO - 66, 0.273687, 0.850171, 0.493048, 0.483878, 0.706333
03-12-2018 01:10:52 AM - INFO - 67, 0.27052, 0.841025, 0.491816, 0.474367, 0.67925
03-12-2018 01:11:27 AM - INFO - 68, 0.264161, 0.853789, 0.490122, 0.469782, 0.69175
03-12-2018 01:12:03 AM - INFO - 69, 0.278757, 0.844582, 0.493014, 0.481184, 0.700083
03-12-2018 01:12:39 AM - INFO - 70, 0.270689, 0.845553, 0.525429, 0.505327, 0.696333
03-12-2018 01:13:15 AM - INFO - *** Earlystopping! ***
03-12-2018 01:13:15 AM - INFO - [ Saved model: best_resnet18_imgsize64_batch8_freeze.h5 ] 
03-12-2018 01:13:15 AM - INFO - [ Results: [0.25946] 0.8516631462530978 0.4907210884353742 0.48341496598639466 0.7088333333333334 ]

03-12-2018 01:13:15 AM - INFO -  --- Type: UNFREEZE --- 
03-12-2018 01:13:15 AM - INFO - epoch, val_loss, f2, average_precision, average_recall, hamming_score
03-12-2018 01:13:55 AM - INFO - 0, 0.396417, 0.754286, 0.344034, 0.346197, 0.526
03-12-2018 01:14:34 AM - INFO - 1, 0.39108, 0.764955, 0.346429, 0.338884, 0.558917
03-12-2018 01:15:15 AM - INFO - 2, 0.372206, 0.784119, 0.357354, 0.360299, 0.57325
03-12-2018 01:15:56 AM - INFO - 3, 0.362591, 0.777887, 0.37298, 0.353027, 0.559167
03-12-2018 01:16:36 AM - INFO - 4, 0.346737, 0.794958, 0.38583, 0.37332, 0.595
