mnm_e_jcsg_e1_ki_ax#### mnm_e_jcsg_e1_ki_ax0001
tlg6_2_1_### tlg6_2_1_002
dcb13_8_1_### dcb13_8_1_001
236774g7_x#### 236774g7_x0001
IDP01038_3ghz.#### IDP01038_3ghz.0001
216496e11_a#### 216496e11_a0001
idp00629_3QJG.#### idp00629_3QJG.0003
232983h5_x#### 232983h5_x0201
233334f6_x#### 233334f6_x0201
idp90748_3R0S.#### idp90748_3R0S.0001
168568_1_#### 168568_1_0001
237875c7_y#### 237875c7_y0001
236782g5_x#### 236782g5_x0001
217129a##### 217129a50001
idp90790_3Q3W.#### idp90790_3Q3W.0001
237875c7_x#### 237875c7_x0001
IDP04364_4FXS.#### IDP04364_4FXS.0001
IDP90718_3N4J.#### IDP90718_3N4J.0001
jkz1_15_1_### jkz1_15_1_001
JBQ5-8_1_### JBQ5-8_1_070
ggh9_7_1_### ggh9_7_1_001
83219_1_### 83219_1_001
IDP00122_3cwc.#### IDP00122_3cwc.0001
237875c7_x#### 237875c7_x0401
234284b5_y#### 234284b5_y0001
idp91538_4E4R.#### idp91538_4E4R.0001
217343a5_cx#### 217343a5_cx0401
215949a5_a#### 215949a5_a0001
JBQ5-8_1_### JBQ5-8_1_001
217343a5_x#### 217343a5_x0001
idp05539_4E16.#### idp05539_4E16.0001
216061a4_a#### 216061a4_a0001
142147_1_#### 142147_1_0001
217291h3b_x#### 217291h3b_x0001
217343a5_cx#### 217343a5_cx0001
