,measure_name,clf,anomaly,mean,std
0,accuracy,DTC,Artifact,0.8974643221202856,0.020693975850689383
1,accuracy,DTC,Background ring,0.6711554677114014,0.03580852443606255
2,accuracy,DTC,Diffuse scattering,0.796233544879594,0.018469939316876332
3,accuracy,DTC,Ice ring,0.8762540957956235,0.01374266299982147
4,accuracy,DTC,Loop scattering,0.6283304443410983,0.02365666510975581
5,accuracy,DTC,Non-uniform detector,0.7631188432756943,0.03559295450018781
6,accuracy,DTC,Strong background,0.8629180230837526,0.025384425156806143
7,accuracy,GaussianNB,Artifact,0.7972094801223241,0.028570305590340763
8,accuracy,GaussianNB,Background ring,0.6214761145324921,0.03494016687521367
9,accuracy,GaussianNB,Diffuse scattering,0.5069422522552147,0.036871825005250776
10,accuracy,GaussianNB,Ice ring,0.7033596865795742,0.0512463044414357
11,accuracy,GaussianNB,Loop scattering,0.6439648247579589,0.0305243165316793
12,accuracy,GaussianNB,Non-uniform detector,0.5726842261023972,0.024587908360814127
13,accuracy,GaussianNB,Strong background,0.8316556039403036,0.02535412163127292
14,accuracy,KNN,Artifact,0.9232076112810056,0.020473070858854647
15,accuracy,KNN,Background ring,0.7005872326899258,0.031847516480986465
16,accuracy,KNN,Diffuse scattering,0.8477410468643083,0.012753785943949443
17,accuracy,KNN,Ice ring,0.9015596504020168,0.005895457656721353
18,accuracy,KNN,Loop scattering,0.6954720331459011,0.02776626078128994
19,accuracy,KNN,Non-uniform detector,0.8044856889189532,0.0216155036844521
20,accuracy,KNN,Strong background,0.8767281105990785,0.026936369002131703
21,accuracy,QuadraticDisciminantAnalysis,Artifact,0.9001911314984712,0.0017849555115506338
22,accuracy,QuadraticDisciminantAnalysis,Background ring,0.5763843479254844,0.022281307357049824
23,accuracy,QuadraticDisciminantAnalysis,Diffuse scattering,0.8721293282036106,0.0015321515012019496
24,accuracy,QuadraticDisciminantAnalysis,Ice ring,0.9029463473698008,0.0012098404455816996
25,accuracy,QuadraticDisciminantAnalysis,Loop scattering,0.5179469834693273,0.03016731225283598
26,accuracy,QuadraticDisciminantAnalysis,Non-uniform detector,0.6600684902549359,0.05403777268956258
27,accuracy,QuadraticDisciminantAnalysis,Strong background,0.5773242294846319,0.03256590648863933
28,accuracy,RFC,Artifact,0.9337962962962962,0.017965028135591046
29,accuracy,RFC,Background ring,0.7755318211925196,0.019178097727832542
30,accuracy,RFC,Diffuse scattering,0.8725859103300655,0.006471423092296845
31,accuracy,RFC,Ice ring,0.9153571124517785,0.007958897725641997
32,accuracy,RFC,Loop scattering,0.7299961949858369,0.02191875662213585
33,accuracy,RFC,Non-uniform detector,0.8436139178962498,0.009049201123204415
34,accuracy,RFC,Strong background,0.9204329260558914,0.012405382503032279
35,f1,DTC,Artifact,0.5136232084273022,0.07910955688497776
36,f1,DTC,Background ring,0.7292834340803307,0.03154804022570947
37,f1,DTC,Diffuse scattering,0.26647045906052524,0.0542561268134761
38,f1,DTC,Ice ring,0.36585791152980407,0.0844797129189761
39,f1,DTC,Loop scattering,0.5914097273810259,0.04199185483808097
40,f1,DTC,Non-uniform detector,0.2937701871693832,0.08689974987639613
41,f1,DTC,Strong background,0.8760286577639416,0.023248895931591643
42,f1,GaussianNB,Artifact,0.4235883022856116,0.05673956655152595
43,f1,GaussianNB,Background ring,0.7110370175353609,0.027414898391216542
44,f1,GaussianNB,Diffuse scattering,0.2913574227958979,0.02594441407070203
45,f1,GaussianNB,Ice ring,0.27472822479064285,0.05727347423538878
46,f1,GaussianNB,Loop scattering,0.6528451011831115,0.02861848294570101
47,f1,GaussianNB,Non-uniform detector,0.3698631564767725,0.02388839015122382
48,f1,GaussianNB,Strong background,0.8342504091087461,0.02614877912209806
49,f1,KNN,Artifact,0.5538766536831552,0.12512012900759725
50,f1,KNN,Background ring,0.7558865853028356,0.025781547537170782
51,f1,KNN,Diffuse scattering,0.22076366175685255,0.07741625911554163
52,f1,KNN,Ice ring,0.0647044356609574,0.08921029188828793
53,f1,KNN,Loop scattering,0.6801633246800002,0.030486272823655357
54,f1,KNN,Non-uniform detector,0.3013487614611222,0.06631872949710847
55,f1,KNN,Strong background,0.8940854375585895,0.022583544280848047
56,f1,QuadraticDisciminantAnalysis,Artifact,0.0,0.0
57,f1,QuadraticDisciminantAnalysis,Background ring,0.6745612403173656,0.024133044428014335
58,f1,QuadraticDisciminantAnalysis,Diffuse scattering,0.0,0.0
59,f1,QuadraticDisciminantAnalysis,Ice ring,0.0,0.0
60,f1,QuadraticDisciminantAnalysis,Loop scattering,0.42043546897771444,0.0383041037853273
61,f1,QuadraticDisciminantAnalysis,Non-uniform detector,0.2109621245424965,0.05191778422916131
62,f1,QuadraticDisciminantAnalysis,Strong background,0.6464416847920991,0.03131979261176538
63,f1,RFC,Artifact,0.58868023008857,0.1204366388231357
64,f1,RFC,Background ring,0.8252604226362198,0.014101557440323594
65,f1,RFC,Diffuse scattering,0.10684338807825688,0.06403001163488409
66,f1,RFC,Ice ring,0.29221870383489573,0.10316559671149855
67,f1,RFC,Loop scattering,0.685320743249053,0.029564817481440464
68,f1,RFC,Non-uniform detector,0.14885758180083045,0.05915313255879562
69,f1,RFC,Strong background,0.9283668597510548,0.01152844165472709
70,precision,DTC,Artifact,0.49632930288102706,0.09195645882320602
71,precision,DTC,Background ring,0.7386594432576041,0.028422981421620894
72,precision,DTC,Diffuse scattering,0.24744141643826928,0.043763630873871945
73,precision,DTC,Ice ring,0.3636311785759895,0.07472090354539078
74,precision,DTC,Loop scattering,0.5935463302808317,0.023707809004532742
75,precision,DTC,Non-uniform detector,0.28534421890002054,0.08807291475538828
76,precision,DTC,Strong background,0.8775178594752132,0.027399790859430697
77,precision,GaussianNB,Artifact,0.29684280070696933,0.042518446922929845
78,precision,GaussianNB,Background ring,0.670713144061136,0.02646468423126251
79,precision,GaussianNB,Diffuse scattering,0.17867949526115692,0.01665484889623405
80,precision,GaussianNB,Ice ring,0.181720363096911,0.03998010799642027
81,precision,GaussianNB,Loop scattering,0.5897552084824709,0.02954759576062157
82,precision,GaussianNB,Non-uniform detector,0.24267252737323602,0.01512796689936867
83,precision,GaussianNB,Strong background,0.9168094981091326,0.027995790765833032
84,precision,KNN,Artifact,0.6618264823411881,0.14943745237343445
85,precision,KNN,Background ring,0.7589851776092512,0.02936980051070982
